Valore,Seme,Connettività,Primario,Modificatore
A,♥,N+W,—,•
2,♥,S,□,+
3,♥,S+W,×,△
4,♥,W,△,+
5,♥,N+S+E,□,△
6,♥,N+S,—,•
7,♥,E+W,+,—
8,♥,E+W,•,—
9,♥,S+W,×,○
10,♥,N+S+W,•,+
J,♥,N,+,□
Q,♥,W,•,△
K,♥,N+E,△,•
A,♦,E,+,○
2,♦,N+E,×,×
3,♦,N+S+E+W,○,+
4,♦,N+S+W,○,□
5,♦,N,□,•
6,♦,E+W,×,×
7,♦,S,+,—
8,♦,N+S+E+W,—,×
9,♦,S+E,□,—
10,♦,N+S,—,×
J,♦,N+S,△,•
Q,♦,N+S+E+W,○,—
K,♦,S+E+W,•,□
A,♣,S,△,•
2,♣,E+W,□,•
3,♣,N+S+E,•,△
4,♣,S+E,—,×
5,♣,N,□,+
6,♣,E,+,○
7,♣,N+E+W,+,○
8,♣,N+E+W,□,+
9,♣,S+E+W,○,□
10,♣,S+E+W,—,○
J,♣,N+W,•,□
Q,♣,N+E+W,△,—
K,♣,N+S+E,×,+
A,♠,N,—,—
2,♠,W,×,+
3,♠,E,○,□
4,♠,N+S+W,+,×
5,♠,S,×,□
6,♠,E,•,△
7,♠,N+S+E,○,×
8,♠,N+E+W,•,△
9,♠,S+E+W,△,○
10,♠,N+S,△,—
J,♠,W,+,•
Q,♠,N+S+W,○,○
K,♠,N+S+E+W,—,△
Jolly,—,—,—,—
Jolly,—,—,—,—
